RegionID,SizeRank,RegionName,RegionType,StateName,Date,ZHVI
26,14,Massachusetts,state,,2000-06-30,203357.79853474777
53,15,Tennessee,state,,2000-06-30,113204.6784853728
22,16,Indiana,state,,2000-06-30,96663.98441298038
27,17,Maryland,state,,2000-06-30,153118.25181913955
32,18,Missouri,state,,2000-06-30,98441.61788817502
60,19,Wisconsin,state,,2000-06-30,121390.18935977116
10,20,Colorado,state,,2000-06-30,183068.00209983243
31,21,Minnesota,state,,2000-06-30,128503.10795014056
51,22,South Carolina,state,,2000-06-30,116371.38552770096
4,23,Alabama,state,,2000-06-30,101222.385202914
25,24,Louisiana,state,,2000-06-30,110858.82102673085
24,25,Kentucky,state,,2000-06-30,89428.79257578864
46,26,Oregon,state,,2000-06-30,153880.4742485017
45,27,Oklahoma,state,,2000-06-30,84545.6387842314
11,28,Connecticut,state,,2000-06-30,166337.21392007964
55,30,Utah,state,,2000-06-30,172650.38269356833
19,31,Iowa,state,,2000-06-30,92073.5872330458
42,32,Nevada,state,,2000-06-30,157001.5086711901
6,33,Arkansas,state,,2000-06-30,90199.67616652302
34,34,Mississippi,state,,2000-06-30,89860.94754386181
23,35,Kansas,state,,2000-06-30,89409.06163891563
41,36,New Mexico,state,,2000-06-30,
38,37,Nebraska,state,,2000-06-30,116143.48613007693
20,38,Idaho,state,,2000-06-30,124789.73923599166
61,39,West Virginia,state,,2000-06-30,73199.47361046661
18,40,Hawaii,state,,2000-06-30,197024.23097508497
39,41,New Hampshire,state,,2000-06-30,136946.37570845103
28,42,Maine,state,,2000-06-30,109334.76101914626
50,43,Rhode Island,state,,2000-06-30,136283.19351003802
35,44,Montana,state,,2000-06-30,
13,45,Delaware,state,,2000-06-30,150956.42617680237
52,46,South Dakota,state,,2000-06-30,106548.21854902328
37,47,North Dakota,state,,2000-06-30,
3,48,Alaska,state,,2000-06-30,136875.4043081147
12,49,District of Columbia,state,,2000-06-30,168353.21817755635
58,50,Vermont,state,,2000-06-30,117998.77981027466
62,51,Wyoming,state,,2000-06-30,
9,0,California,state,,2000-07-31,198660.4436580755
54,1,Texas,state,,2000-07-31,113129.696146496
14,2,Florida,state,,2000-07-31,110845.32204894192
43,3,New York,state,,2000-07-31,159679.47637402837
47,4,Pennsylvania,state,,2000-07-31,101071.39080683349
21,5,Illinois,state,,2000-07-31,130993.76028149531
44,6,Ohio,state,,2000-07-31,106720.8156854115
16,7,Georgia,state,,2000-07-31,129780.6534636358
36,8,North Carolina,state,,2000-07-31,131176.25773955553
30,9,Michigan,state,,2000-07-31,119041.92386014517
40,10,New Jersey,state,,2000-07-31,175737.02266280042
56,11,Virginia,state,,2000-07-31,127387.67285694844
59,12,Washington,state,,2000-07-31,178903.17890400076
8,13,Arizona,state,,2000-07-31,139020.9363020278
26,14,Massachusetts,state,,2000-07-31,205495.95420167828
53,15,Tennessee,state,,2000-07-31,113489.24030873876
22,16,Indiana,state,,2000-07-31,97139.01228790438
27,17,Maryland,state,,2000-07-31,153894.25652007313
32,18,Missouri,state,,2000-07-31,99043.63959265352
60,19,Wisconsin,state,,2000-07-31,121989.3114588228
10,20,Colorado,state,,2000-07-31,184960.3018009599
31,21,Minnesota,state,,2000-07-31,129781.15110682654
51,22,South Carolina,state,,2000-07-31,116842.65369576706
4,23,Alabama,state,,2000-07-31,101548.84856599924
25,24,Louisiana,state,,2000-07-31,111275.5465040839
24,25,Kentucky,state,,2000-07-31,89769.17163145154
46,26,Oregon,state,,2000-07-31,154320.68727946494
45,27,Oklahoma,state,,2000-07-31,84930.19172836813
11,28,Connecticut,state,,2000-07-31,167331.5726462195
55,30,Utah,state,,2000-07-31,174113.49916865586
19,31,Iowa,state,,2000-07-31,92473.40066248868
42,32,Nevada,state,,2000-07-31,157488.53033080837
6,33,Arkansas,state,,2000-07-31,90463.70396962036
34,34,Mississippi,state,,2000-07-31,90273.91564284246
23,35,Kansas,state,,2000-07-31,89748.0242864354
41,36,New Mexico,state,,2000-07-31,
38,37,Nebraska,state,,2000-07-31,116235.66041021426
20,38,Idaho,state,,2000-07-31,125179.46087811586
61,39,West Virginia,state,,2000-07-31,73453.1686374896
18,40,Hawaii,state,,2000-07-31,198167.7707321941
39,41,New Hampshire,state,,2000-07-31,138248.7104970709
28,42,Maine,state,,2000-07-31,110127.92417571286
50,43,Rhode Island,state,,2000-07-31,137145.1156142028
35,44,Montana,state,,2000-07-31,
13,45,Delaware,state,,2000-07-31,151797.01342486596
52,46,South Dakota,state,,2000-07-31,106462.30740497024
37,47,North Dakota,state,,2000-07-31,
3,48,Alaska,state,,2000-07-31,137300.310504116
12,49,District of Columbia,state,,2000-07-31,170174.94324075105
58,50,Vermont,state,,2000-07-31,118638.41852258722
62,51,Wyoming,state,,2000-07-31,
9,0,California,state,,2000-08-31,201226.77599359103
54,1,Texas,state,,2000-08-31,113337.6657201869
14,2,Florida,state,,2000-08-31,111493.53192658444
43,3,New York,state,,2000-08-31,160678.28597619708
47,4,Pennsylvania,state,,2000-08-31,101505.19719271008
21,5,Illinois,state,,2000-08-31,132068.2895433827
44,6,Ohio,state,,2000-08-31,107239.78495641104
16,7,Georgia,state,,2000-08-31,130648.8654227105
36,8,North Carolina,state,,2000-08-31,131654.12956688128
30,9,Michigan,state,,2000-08-31,119930.31429531392
40,10,New Jersey,state,,2000-08-31,177361.18876040736
56,11,Virginia,state,,2000-08-31,128246.47582610976
59,12,Washington,state,,2000-08-31,179751.46912965956
8,13,Arizona,state,,2000-08-31,139663.0277409806
26,14,Massachusetts,state,,2000-08-31,208127.17805808943
53,15,Tennessee,state,,2000-08-31,113782.93995085509
22,16,Indiana,state,,2000-08-31,97623.19785289164
27,17,Maryland,state,,2000-08-31,154614.38951700306
32,18,Missouri,state,,2000-08-31,99692.8098541604
